,fecha,nombre,provincia,altitud,tmed,prec,tmin,tmax,velmedia,racha
1166,2022-01-05,GRAZALEMA,CADIZ,913,"7,0","24,0","5,1","8,9","2,5","9,7"
1171,2022-01-05,ANDÚJAR,JAEN,202,"7,7","4,8","2,4","13,0","2,2","10,0"
1173,2022-01-05,CÁDIZ,CADIZ,2,"13,9","1,6","12,2","15,6","5,6","12,8"
1184,2022-01-05,ALMERÍA AEROPUERTO,ALMERIA,21,"15,0","0,0","12,2","17,7","4,7","24,7"
1188,2022-01-05,"HUELVA, RONDA ESTE",HUELVA,18,"12,5","0,8","7,8","17,2","3,3","10,8"
1191,2022-01-05,"ROTA, BASE NAVAL",CADIZ,21,"12,1","1,2","9,0","15,2","5,3","15,3"
1193,2022-01-05,AYAMONTE,HUELVA,3,"12,9","0,7","8,2","17,6","1,9","7,8"
1202,2022-01-05,TARIFA,CADIZ,32,"11,5","2,0","8,3","14,7","5,8","13,6"
1211,2022-01-05,LA RODA DE ANDALUCÍA,SEVILLA,410,"8,0","4,8","4,1","12,0","2,8","10,8"
1215,2022-01-06,ANTEQUERA,MALAGA,408,"7,6","0,0","3,6","11,6","1,4","7,5"
1227,2022-01-06,ROQUETAS DE MAR,ALMERIA,3,,"0,0",,,,
1233,2022-01-06,HUÉRCAL-OVERA,ALMERIA,300,"9,2","0,0","2,6","15,7","1,4","8,9"
1254,2022-01-06,ADRA,ALMERIA,8,"14,8","0,0","10,5","19,0","1,4","5,0"
1258,2022-01-06,SANTA ELENA,JAEN,770,"5,4","0,0","2,6","8,2","2,5","13,9"
1260,2022-01-06,ARROYO DEL OJANCO,JAEN,580,"6,2","0,0","1,3","11,0",,
1269,2022-01-06,GRANADA BASE AÉREA,GRANADA,687,"6,4","0,0","0,3","12,6","3,3","9,4"
1272,2022-01-06,"MOGUER, EL ARENOSILLO",HUELVA,41,"11,4","0,0","6,4","16,4","2,8","7,2"
1278,2022-01-06,VEJER DE LA FRONTERA,CADIZ,186,"11,2","0,0","7,5","14,9","2,5","16,4"
1282,2022-01-06,DOÑA MENCÍA,CORDOBA,650,"9,0","0,0","5,4","12,5","1,7","10,0"
1287,2022-01-06,CÓRDOBA AEROPUERTO,CORDOBA,90,"9,8","0,0","3,8","15,9","1,4","6,1"
1289,2022-01-06,ÉCIJA,SEVILLA,130,"10,4","0,0","5,0","15,7","0,6","9,7"
1292,2022-01-06,ESTEPONA,MALAGA,19,"13,6","0,0","9,4","17,8","1,7","11,9"
1298,2022-01-06,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,27,"10,2",Ip,"4,9","15,4","3,6","9,7"
1302,2022-01-06,MORÓN DE LA FRONTERA,SEVILLA,87,"9,6","0,0","4,2","14,9","1,7","6,7"
1303,2022-01-06,BAZA,GRANADA,785,"5,4","0,0","1,4","9,4","5,6","10,3"
1304,2022-01-06,SAN FERNANDO,CADIZ,28,"12,4","0,0","9,6","15,3","2,2","15,8"
1320,2022-01-06,HINOJOSA DEL DUQUE,CORDOBA,551,"6,4","0,0","1,5","11,4","2,2","10,0"
1326,2022-01-06,VILLANUEVA DE CÓRDOBA,CORDOBA,750,"6,6","0,2","3,3","10,0","2,2","9,4"
1333,2022-01-06,CAZALLA DE LA SIERRA,SEVILLA,550,"7,6","0,0","1,6","13,7","1,1","7,5"
1337,2022-01-06,JAÉN,JAEN,580,"7,6","0,0","4,8","10,5","2,2","14,2"
